method,metric,seed,value
MARI,reloc_per_update,100,0.0246974873357007
MARI,verify_per_result,100,1.005432426228672
MARI,scan_per_result,100,1.2280853885587493
ART,reloc_per_update,100,0.9903166666666666
ART,verify_per_result,100,0.0
ART,scan_per_result,100,5.939325154938917
PGM,reloc_per_update,100,0.9903166666666666
PGM,verify_per_result,100,1.3779234359458288
PGM,scan_per_result,100,1.3779234359458288
Bx,reloc_per_update,100,0.9903166666666666
Bx,verify_per_result,100,6.98992578234589
Bx,scan_per_result,100,6.98992578234589
MARI,reloc_per_update,101,0.024392911835484577
MARI,verify_per_result,101,1.0045620921967005
MARI,scan_per_result,101,1.2160893321309214
ART,reloc_per_update,101,0.9903833333333333
ART,verify_per_result,101,0.0
ART,scan_per_result,101,6.193464537690308
PGM,reloc_per_update,101,0.9903833333333333
PGM,verify_per_result,101,1.3827913638533764
PGM,scan_per_result,101,1.3827913638533764
Bx,reloc_per_update,101,0.9903833333333333
Bx,verify_per_result,101,7.010238183650735
Bx,scan_per_result,101,7.010238183650735
MARI,reloc_per_update,102,0.024231151211136736
MARI,verify_per_result,102,1.005030941471019
MARI,scan_per_result,102,1.2298171855071094
ART,reloc_per_update,102,0.9901166666666666
ART,verify_per_result,102,0.0
ART,scan_per_result,102,5.916434408805329
PGM,reloc_per_update,102,0.9901166666666666
PGM,verify_per_result,102,1.381737446265766
PGM,scan_per_result,102,1.381737446265766
Bx,reloc_per_update,102,0.9901166666666666
Bx,verify_per_result,102,6.9384713496150034
Bx,scan_per_result,102,6.9384713496150034
MARI,reloc_per_update,103,0.024309792075125587
MARI,verify_per_result,103,1.0045897488073436
MARI,scan_per_result,103,1.203441181125506
ART,reloc_per_update,103,0.9903416666666667
ART,verify_per_result,103,0.0
ART,scan_per_result,103,5.624929344999887
PGM,reloc_per_update,103,0.9903416666666667
PGM,verify_per_result,103,1.3794569174071312
PGM,scan_per_result,103,1.3794569174071312
Bx,reloc_per_update,103,0.9903416666666667
Bx,verify_per_result,103,6.8845553822152885
Bx,scan_per_result,103,6.8845553822152885
MARI,reloc_per_update,104,0.024639498960376455
MARI,verify_per_result,104,1.0068833969149114
MARI,scan_per_result,104,1.23961270525792
ART,reloc_per_update,104,0.9899416666666667
ART,verify_per_result,104,0.0
ART,scan_per_result,104,5.191636258085918
PGM,reloc_per_update,104,0.9899416666666667
PGM,verify_per_result,104,1.378752695306021
PGM,scan_per_result,104,1.378752695306021
Bx,reloc_per_update,104,0.9899416666666667
Bx,verify_per_result,104,6.808695471885885
Bx,scan_per_result,104,6.808695471885885
MARI,reloc_per_update,105,0.024299537231804797
MARI,verify_per_result,105,1.0046520382919222
MARI,scan_per_result,105,1.2133215015596428
ART,reloc_per_update,105,0.9904166666666666
ART,verify_per_result,105,0.0
ART,scan_per_result,105,6.180461439173927
PGM,reloc_per_update,105,0.9904166666666666
PGM,verify_per_result,105,1.3867645477035604
PGM,scan_per_result,105,1.3867645477035604
